browser_type_id	browser_type_name
1	Other
2	Other
3	Other
4	Other
5	Other
6	Other
7	Other
8	AOL
9	AOL
10	Microsoft
11	Microsoft
12	Microsoft
13	Microsoft
14	Microsoft
15	Microsoft
16	Microsoft
17	Microsoft
18	Microsoft
19	Microsoft
20	Microsoft
21	Microsoft
23	Microsoft
24	Microsoft
25	Microsoft
26	Microsoft
27	Other
28	Other
29	Other
30	Other
31	Other
32	Other
33	Opera
34	Opera
35	Opera
36	Other
37	Other
38	Other
39	Other
40	Other
41	Other
42	Other
43	Other
44	Other
45	Other
46	Other
47	Other
48	Other
49	Other
50	Other
51	Other
52	Other
53	Other
54	Other
55	Other
56	Other
57	Other
58	Other
59	Other
60	Other
61	Other
62	Other
63	Other
64	Other
65	Other
66	Other
67	Other
68	Other
69	Other
70	Other
71	Other
72	Other
73	Other
74	Other
75	Other
76	Other
77	Other
78	Other
79	Other
80	Other
81	Other
82	Other
83	Other
84	Other
85	Other
86	Other
87	Other
88	Other
89	Other
90	Other
92	Other
93	Other
94	Other
95	Other
96	Other
97	Other
98	Other
99	Other
100	Other
101	Other
102	Other
103	Other
104	Other
105	Other
106	Other
107	Netscape
108	Netscape
109	Netscape
110	Netscape
111	Netscape
112	Netscape
113	Netscape
114	Netscape
115	Netscape
116	Netscape
117	Netscape
118	Netscape
119	Netscape
120	Netscape
121	Netscape
122	Netscape
123	Netscape
124	Netscape
125	Netscape
126	Netscape
127	Netscape
128	Netscape
129	Netscape
130	Netscape
131	Netscape
132	Netscape
133	Netscape
134	Netscape
135	Netscape
136	Netscape
138	Other
139	Other
142	Other
144	Other
145	Other
146	Other
147	Other
149	Other
150	Other
152	Other
153	Other
154	Other
155	Microsoft
156	Netscape
157	Netscape
158	Netscape
159	Netscape
200	Netscape
201	Netscape
202	Netscape
203	Netscape
204	Netscape
205	Microsoft
206	Microsoft
207	Microsoft
208	Opera
209	Opera
210	Opera
211	Other
212	Other
213	Other
214	Other
215	Other
216	Other
217	Other
218	Other
219	Other
220	Other
221	Other
222	Other
223	Other
224	Other
225	Other
226	Other
227	Other
228	Other
229	Other
230	Other
231	Opera
233	Mozilla
234	AOL
235	AOL
236	AOL
237	AOL
238	AOL
239	AOL
240	Other
241	Netscape
242	Netscape
243	Microsoft
244	Microsoft
245	Microsoft
246	Microsoft
247	Microsoft
248	Microsoft
249	Microsoft
250	Other
251	Other
252	Netscape
253	Opera
254	Opera
255	Other
256	Other
257	Other
258	AOL
259	AOL
260	Netscape
261	Microsoft
262	Netscape
263	Netscape
264	Netscape
265	Opera
266	Other
267	Other
268	AOL
269	AOL
270	AOL
271	AOL
272	Microsoft
273	Microsoft
274	Apple
275	Other
276	Other
277	Other
278	Other
279	Other
280	Microsoft
281	Opera
282	Apple
283	Apple
284	Apple
285	Apple
286	Apple
287	Apple
288	Apple
289	Apple
290	Apple
291	Apple
292	Microsoft
293	Netscape
294	Netscape
295	Netscape
296	Netscape
297	Netscape
298	Netscape
299	Mozilla
300	Apple
301	Apple
302	Netscape
303	Netscape
304	Netscape
305	Netscape
306	Netscape
307	Netscape
308	Netscape
309	Netscape
310	Microsoft
311	AOL
312	AOL
313	Microsoft
314	Microsoft
315	Microsoft
316	Microsoft
317	Apple
318	Apple
319	Apple
320	Apple
321	Apple
322	Mozilla
323	Mozilla
324	Other
325	Other
326	Apple
327	Mozilla
328	Mozilla
329	Mozilla
330	Mozilla
331	Mozilla
332	Mozilla
333	AOL
334	AOL
335	AOL
336	Mozilla
337	AOL
338	Other
339	Other
340	Other
341	Other
342	Other
343	Other
344	Other
345	Other
346	Other
347	Other
348	Other
349	Other
350	Other
351	Other
352	Other
353	Other
354	Other
355	Other
356	Other
357	Other
358	Other
359	Other
360	Other
361	Other
362	Other
363	Other
364	Other
365	Other
366	Other
367	Other
368	Other
369	Other
370	Other
371	Other
372	Other
373	Other
374	Other
375	Other
376	Other
377	Other
378	Other
379	Other
380	Other
381	Other
382	Other
383	Other
384	Other
385	Microsoft
386	Microsoft
387	Mozilla
388	Mozilla
389	Mozilla
390	Mozilla
391	Mozilla
392	Mozilla
393	Mozilla
394	Mozilla
395	Mozilla
396	Mozilla
397	Mozilla
398	Mozilla
399	Mozilla
400	Mozilla
401	Mozilla
402	Mozilla
403	Mozilla
404	Mozilla
405	Mozilla
406	Mozilla
407	Mozilla
408	Mozilla
409	Mozilla
410	Mozilla
411	Mozilla
412	Mozilla
413	Mozilla
414	Mozilla
415	Mozilla
416	Mozilla
417	Mozilla
419	Mozilla
420	Mozilla
421	Mozilla
422	Opera
423	Opera
424	Opera
425	Opera
426	Opera
427	Opera
428	Opera
429	Opera
430	Opera
431	Opera
432	Opera
433	Opera
434	Opera
435	Opera
436	Opera
437	Opera
438	Opera
439	Opera
440	Opera
441	Opera
442	Opera
443	Opera
444	Opera
445	Opera
446	Opera
447	Opera
448	Opera
449	Opera
450	Opera
451	Opera
452	Opera
453	Opera
454	Opera
455	Opera
456	Opera
457	Opera
458	Opera
459	Opera
460	Opera
461	Opera
462	Opera
463	Opera
464	Opera
465	Opera
466	Opera
467	Opera
468	Opera
469	Apple
470	Apple
471	Apple
472	Apple
473	Apple
474	Apple
475	Apple
476	Apple
477	Apple
478	Apple
479	Apple
480	Apple
481	Apple
482	Apple
483	Apple
484	Apple
485	Apple
486	Mozilla
487	Mozilla
488	Mozilla
489	Mozilla
490	Mozilla
491	Mozilla
492	Mozilla
493	Mozilla
494	Mozilla
495	Mozilla
496	Apple
497	Microsoft
498	Mozilla
499	Google
500	Google
501	Google
502	Mozilla
503	Apple
504	Apple
505	Apple
506	Google
507	AOL
508	Other
509	Opera
510	Mozilla
511	Apple
512	Apple
513	Apple
514	Apple
515	Apple
516	Mozilla
517	Google
518	Google
519	Google
520	Apple
521	Apple
522	Apple
523	Mozilla
524	Mozilla
525	Mozilla
526	Mozilla
527	Google
528	Google
529	Google
530	Other
531	Other
532	Other
533	Other
534	Netscape
535	Google
536	Apple
537	Microsoft
538	Apple
539	Google
540	Other
541	Other
542	Other
543	Google
544	Google
545	Google
546	Google
547	Opera
548	Mozilla
549	Opera
550	Apple
