segment_id,segment_name,recency_min,recency_max,frequency_min,frequency_max,monetary_min,monetary_max,engagement_strategy
SEG-001,Champions,0,30,8,999,500000.00,99999999.99,Reward loyalty with exclusive offers and early access to new products. Assign dedicated account manager. Invite to advisory board.
SEG-002,Loyal Customers,0,60,5,8,200000.00,500000.00,Upsell higher-value products. Offer loyalty program benefits. Regular business reviews and relationship building.
SEG-003,Potential Loyalists,0,90,3,5,100000.00,200000.00,Nurture with personalized recommendations. Provide onboarding support. Offer volume discount incentives.
SEG-004,New Customers,0,30,1,2,0.00,100000.00,Welcome program with dedicated onboarding. Educate on full product portfolio. Quick-win case studies.
SEG-005,Promising,31,90,2,4,50000.00,200000.00,Engage with targeted content. Offer trial of premium products. Build relationship through regular touchpoints.
SEG-006,Need Attention,61,120,3,5,100000.00,300000.00,Proactive outreach to understand needs. Offer special promotions. Schedule quarterly business reviews.
SEG-007,At Risk,91,180,3,8,100000.00,500000.00,Urgent re-engagement campaign. Executive-level outreach. Competitive win-back offers and service recovery.
SEG-008,About to Sleep,121,180,1,3,50000.00,150000.00,Reactivation campaign with compelling offers. Survey to understand disengagement reasons. Time-limited incentives.
SEG-009,Hibernating,181,365,1,3,25000.00,100000.00,Win-back email series. Share new product announcements. Offer significant re-engagement discounts.
SEG-010,Lost,366,9999,0,2,0.00,50000.00,Low-cost re-engagement attempts. Annual check-in. Archive if no response after 2 attempts.

